x,y,z
10695.87393,100789.8626,447.87787
10694.49628,100790.4306,452.7186
10693.11868,100791.0032,457.558808
10691.74113,100791.5803,462.39849
10680.73254,100796.2333,450.70069
10678.57644,100797.148,454.598683
10774.93643,100823.3755,381.292811
10770.16124,100824.8509,381.14855
10765.38793,100826.333,381.011268
10760.60884,100827.7968,380.882118
10755.79221,100829.1328,380.766172
10750.93818,100830.3271,380.664117
10746.05098,100831.3786,380.57604
10741.13482,100832.2864,380.502017
10736.20267,100833.1046,380.441765
10731.29762,100834.0718,380.393818
10727.91246,100834.8471,380.367685
10790.17577,100818.3823,372.122068
10785.44131,100819.7968,371.357774
10780.70876,100821.2251,370.607592
10775.97822,100822.6673,369.871214
10771.24979,100824.1232,369.148648
10766.52353,100825.5929,368.439908
10761.79942,100827.0759,367.74444
10757.0771,100828.5695,367.05966
10752.35657,100830.0734,366.385252
10747.63787,100831.5876,365.721222
10742.92103,100833.1121,365.067576
10738.94057,100834.407,364.52358
10799.88051,100815.7888,364.925198
10795.28406,100817.1536,363.50751
10790.68482,100818.5298,362.109928
10786.08316,100819.9195,360.733985
10781.47953,100821.3257,359.381528
10776.8741,100822.7483,358.052604
10772.267,100824.1873,356.747257
10767.6584,100825.6426,355.465531
10763.04819,100827.116,354.210505
10758.4363,100828.6095,352.98588
10753.82297,100830.1231,351.79173
10750.86656,100831.1034,351.042685
10810.61569,100812.6129,358.006001
10806.28366,100813.8758,355.705954
10801.95043,100815.149,353.413889
10797.61602,100816.4326,351.129819
10793.28053,100817.727,348.853919
10788.9445,100819.036,346.587358
10784.60809,100820.3601,344.330391
10780.27136,100821.6994,342.083049
10775.93434,100823.0539,339.84536
10771.59732,100824.4243,337.617334
10767.26153,100825.8139,335.398915
10762.92723,100827.2235,333.19013
10811.41301,100812.2028,347.263319
10807.49913,100813.345,344.369003
10803.58377,100814.4964,341.48039
10799.66655,100815.6573,338.598082
10795.74332,100816.829,335.728351
10791.813,100818.0118,332.87292
10787.87566,100819.2058,330.031833
10783.93134,100820.4108,327.205133
10779.98035,100821.627,324.392559
10776.02518,100822.8548,321.590936
10772.06651,100824.0943,318.799428
10768.86459,100825.1047,316.550741
10816.95831,100809.9829,340.664345
10813.40025,100810.9508,337.287478
10809.83206,100811.9308,333.924803
10806.25418,100812.923,330.576012
10802.67203,100813.9278,327.23556
10799.08749,100814.9454,323.901584
10795.50058,100815.976,320.574113
10791.91134,100817.0193,317.253176
10788.31946,100818.0758,313.939224
10784.72016,100819.149,310.638742
10781.11186,100820.2401,307.35399
10777.49466,100821.3491,304.085051
10775.01324,100822.1187,301.856299
10767.6193,100850.1409,381.521796
10763.10061,100852.2793,381.429078
10758.59003,100854.4351,381.345084
10754.08763,100856.6083,381.269816
10749.5935,100858.7988,381.203276
10745.10537,100861.0019,381.146934
10740.74063,100863.1503,381.104149
10772.73014,100849.412,370.353414
10768.30585,100851.6423,369.681406
10763.88711,100853.8911,369.035336
10759.47408,100856.1584,368.415232
10755.06697,100858.444,367.821119
10750.66591,100860.7479,367.252971
10747.09312,100862.6247,366.805213
10778.38663,100847.2217,358.95693
10774.02018,100849.3262,357.730104
10769.65797,100851.4455,356.513706
10765.30129,100853.5829,355.309143
10760.95023,100855.7383,354.116438
10756.60487,100857.9116,352.935616
10753.56137,100859.4463,352.114736
10788.2318,100841.3084,346.084216
10784.05867,100843.1771,344.061133
10779.88426,100845.0464,342.041243
10775.70902,100846.9197,340.026702
10771.53388,100848.8032,338.021636
10767.35888,100850.6973,336.026163
10763.44497,100852.4825,334.164134
10799.52707,100838.2939,339.365865
10795.64711,100840.1714,336.831962
10791.76079,100842.0521,334.310106
10787.86815,100843.9357,331.800316
10783.96966,100845.8239,329.30297
10780.0667,100847.7206,326.819166
10776.15942,100849.6262,324.349004
10772.24784,100851.5407,321.892512
10769.60042,100852.8403,320.239193
10815.73601,100831.5359,336.100522
10812.31336,100833.2737,332.896514
10808.88352,100835.0166,329.703022
10805.44734,100836.7642,326.51894
10802.00485,100838.5166,323.344288
10798.55606,100840.2737,320.179084
10795.10113,100842.0363,317.023683
10791.64261,100843.8224,313.885463
10788.18171,100845.6392,310.767563
10784.71862,100847.4866,307.670153
10782.39825,100848.7409,305.607357
10719.61731,100823.4037,407.138042
10723.75338,100821.5349,409.235744
10727.88167,100819.6383,411.323847
10731.99615,100817.7107,413.410721
10734.78411,100816.3758,414.841228
10715.97487,100825.0714,412.407048
10718.99174,100823.8498,416.20259
10722.01039,100822.6007,419.987752
10725.02476,100821.3224,423.766554
10727.21829,100820.3691,426.525066
10707.96444,100828.2905,420.43297
10709.13647,100827.8619,426.861964
10713.44089,100826.4071,418.453146
10715.52721,100825.6988,422.941528
10717.63398,100824.9857,427.41958
10719.21203,100824.4538,430.760555
10713.15324,100809.5307,399.655959
10717.21657,100806.8614,401.054491
10721.27139,100804.1667,402.428992
10725.31748,100801.4468,403.779394
10729.35463,100798.7019,405.105629
10733.37814,100795.9332,406.423795
10737.37853,100793.1431,407.766919
10741.35526,100790.3317,409.135898
10745.30808,100787.4994,410.530641
10749.23673,100784.6463,411.951058
10753.14543,100781.7781,413.395849
10757.04157,100778.9041,414.862929
10760.92514,100776.0246,416.352227
10764.79606,100773.1395,417.863704
10768.65421,100770.2491,419.397319
10712.49341,100809.7469,401.307442
10716.13769,100807.351,403.752681
10719.78164,100804.9408,406.184218
10723.42518,100802.5162,408.602013
10727.06827,100800.0772,411.006029
10730.70523,100797.6277,413.408678
10734.32147,100795.1778,415.841828
10737.91607,100792.7279,418.306942
10741.4888,100790.2782,420.803875
10745.03944,100787.8289,423.332477
10748.56965,100785.379,425.888969
10752.084,100782.9257,428.463933
10755.58264,100780.4688,431.056839
10759.06551,100778.0085,433.667626
10761.42549,100776.333,435.45367
10788.5892,100795.7135,379.17797
10784.05497,100797.7008,378.467405
10779.52869,100799.7092,377.765476
10775.01046,100801.7387,377.072197
10770.50039,100803.789,376.387584
10765.9979,100805.8601,375.715176
10761.50187,100807.951,375.061633
10757.01241,100810.0619,374.427132
10752.52966,100812.1925,373.811693
10748.05376,100814.343,373.215336
10743.58461,100816.5119,372.63569
10794.0319,100792.7586,372.535549
10789.61386,100794.6053,371.096699
10785.20492,100796.4864,369.674474
10780.80539,100798.4017,368.268947
10776.41554,100800.3512,366.880206
10772.03564,100802.3347,365.508336
10767.66302,100804.3457,364.153335
10763.29326,100806.3741,362.815119
10758.92642,100808.4197,361.493718
10754.56259,100810.4825,360.189165
10750.58506,100812.3789,359.013998
10799.55247,100790.9629,366.484025
10795.34365,100792.7549,364.382622
10791.13832,100794.5795,362.302474
10786.9387,100796.4405,360.243166
10782.7451,100798.3378,358.204842
10778.5578,100800.2714,356.187648
10774.37676,100802.2402,354.191714
10770.19613,100804.2311,352.21695
10766.01377,100806.2391,350.263341
10761.82979,100808.2643,348.330946
10757.64432,100810.3065,346.419822
10807.2649,100788.7773,361.431015
10802.58043,100791.0193,357.775338
10798.88267,100792.8239,354.93458
10795.16795,100794.6433,352.125589
10791.4359,100796.4761,349.348444
10787.68675,100798.3222,346.603311
10783.92071,100800.1814,343.890353
10780.14139,100802.0575,341.207644
