BHID,AT,DIP,BRG,Random Numeric
WP020,120.279999,80,263.48999,0.296105703
WP020,140.199997,80,261.5,0.460353487
WP020,200.199997,80,263.5,0.912056637
WP020,219.699997,80,265,0.46632897
WP020,239.199997,80,266.5,0.300211358
WP020,299.200012,80,268.5,0.46633618
WP020,338.200012,80,269.5,0.003629062
WP020,368.200012,79,271.5,0.993093218
WP020,370.200012,79,271.5,0.235026322
WP021,0,80,280,0.65545531
WP021,39,80,277.5,0.864714497
WP021,69,80,278.5,0.336973811
WP021,99,80,278.5,0.148493608
WP021,138.050003,81,279.5,0.11981347
WP021,168.050003,81,280.5,0.737497702
WP021,198.050003,81,281.5,0.374840577
WP021,200.050003,80,281.5,0.571039909
WP022,0,80,270,0.963336887
WP022,2.6,80,271,0.166433811
WP022,22.879999,80,272.5,0.221946302
WP022,43.150002,80,274,0.837878086
WP022,99.699997,80,275.5,0.996792075
WP022,129.699997,80,276,0.752745257
WP022,144.699997,80,277.5,0.487097907
WP022,159.699997,80,279,0.57413199
WP022,189.699997,80,281,0.25241888
WP022,191.699997,80,281,0.746278258
WP023,0,80,272.5,0.248636609
WP023,31,80,272.5,0.672231508
WP023,233.800003,80,272.5,0.845341165
WP025,0,70,270,0.911555906
WP025,15,70,271.5,0.679604353
WP025,45,70,272.5,0.986618674
WP025,96,71,273.5,0.173268498
WP025,147,71,274.5,0.207599774
WP025,198,71,274.5,0.724423763
WP025,287.700012,71,274.5,0.062778565
WP026,0,70,270,0.505931922
WP026,92,73,271.5,0.035401707
WP026,143,73,271.5,0.209838334
WP026,194,73,274.5,0.735744018
WP026,245,73,275.5,0.945357306
WP026,276,73,276,0.334960959
WP026,347,72,276.5,0.543566285
WP026,506.700012,72,276.5,0.048791835
WP027,0,70,270,0.441037352
WP027,199.199997,70,270,0.689194676
WP028,0,70,269.5,0.587798515
WP028,31,70,269.5,0.575209113
WP028,463.049988,70,269.5,0.566602671
WP029,0,70,270,0.714192853
WP029,170,72,271.5,0.77492244
WP029,221,72,272.5,0.098114475
WP029,272,72,273.5,0.654076864
WP029,285.5,72,274.75,0.184533366
WP029,299,72,276,0.400563777
WP029,326,72,278.5,0.762384949
WP029,356,71.5,279.5,0.593999892
WP029,386,71,280.5,0.741511631
WP029,388.299988,71,280.5,0.277747465
WP030,0,72,273.5,0.684863335
WP030,31,72,273.5,0.500598135
WP030,590.700012,72,273.5,0.479981859
WP031,0,52,271.5,0.34616721
WP031,31,52,271.5,0.265317565
WP031,375.25,52,271.5,0.310580204
WP032,0,71,272.5,0.050733322
WP032,31,71,272.5,0.208111287
WP032,200.149994,71,272.5,0.612592202
WP033,0,50,90,0.799682693
WP033,326.25,50,90,0.38303138
WP034,0,70,270,0.391949955
WP034,410,70,270,0.267339044
WP035,0,70,270,0.164419461
WP035,98.199997,70,270,0.905649424
WP035,147.199997,71,272.5,0.521338177
WP035,196.199997,72,275,0.361826461
WP035,248.199997,71,275,0.339120486
WP035,250.100006,71,275,0.419165637
WP036,0,60,90,0.415817207
WP036,32,61,86.5,0.474732082
WP036,42.5,61,87.25,0.382093284
WP036,53,61,88,0.497686263
WP036,63.5,61,88.75,0.503897208
WP036,74,61,89.5,0.459125416
WP036,89,61,88.5,0.327473011
WP036,104,61,87.5,0.36158431
WP036,111.5,62,88.25,0.387060341
WP036,119,63,89,0.494796769
WP036,126.5,64,89.75,0.062773879
WP036,134,65,90.5,0.059817584
