X,Y,Z,Hole ID,CU_pct,AU_gpt,DENSITY
445088.474736,494112.488014,2943.450911,WP002,0.73,1.1,3.2
445087.061007,494112.525034,2942.036697,WP002,0.79,2.85,3.17
445085.647278,494112.562054,2940.622483,WP002,0.46,0.78,3.22
445084.233549,494112.599074,2939.208270,WP002,0.37,1.55,3.12
445082.819820,494112.636094,2937.794056,WP002,0.4,0.74,3.13
445081.406091,494112.673113,2936.379843,WP002,0.3,0.34,3.15
445079.992362,494112.710133,2934.965629,WP002,0.38,0.4,3.11
445078.578633,494112.747153,2933.551416,WP002,0.43,0.52,3.11
445077.164904,494112.784173,2932.137202,WP002,0.53,1.22,3.25
445075.751175,494112.821192,2930.722989,WP002,0.47,2.06,3.13
445074.337446,494112.858212,2929.308775,WP002,0.41,0.58,3.14
445072.923717,494112.895232,2927.894561,WP002,0.73,2.37,3.19
445071.509988,494112.932252,2926.480348,WP002,0.51,0.6,3.16
445070.096259,494112.969272,2925.066134,WP002,0.29,1.18,3.17
445068.682530,494113.006291,2923.651921,WP002,0.26,0.59,3.17
445067.268801,494113.043311,2922.237707,WP002,0.23,1.18,3.17
445065.855072,494113.080331,2920.823494,WP002,0.16,2.13,3.2
445064.441343,494113.117351,2919.409280,WP002,0.19,0.33,3.2
445063.027615,494113.154371,2917.995066,WP002,0.3,0.37,3.2
445061.613886,494113.191390,2916.580853,WP002,0.24,0.19,3.16
445060.200157,494113.228410,2915.166639,WP002,0.22,0.57,3.21
445058.786428,494113.265430,2913.752426,WP002,0.16,1.05,3.12
445057.372699,494113.302450,2912.338212,WP002,0.12,1.32,3.17
445055.958970,494113.339470,2910.923999,WP002,0.19,0.4,3.17
445054.545241,494113.376489,2909.509785,WP002,0.3,0.13,3.16
445053.131512,494113.413509,2908.095572,WP002,0.19,0.36,3.04
445051.717783,494113.450529,2906.681358,WP002,0.26,0.25,3.05
445050.304054,494113.487549,2905.267144,WP002,0.29,1,3.08
445048.890325,494113.524569,2903.852931,WP002,0.43,1.66,3.06
445047.476596,494113.561588,2902.438717,WP002,0.31,0.36,3.06
445046.062867,494113.598608,2901.024504,WP002,0.31,1.16,3.06
445044.649138,494113.635628,2899.610290,WP002,0.5,1.17,3
445043.235409,494113.672648,2898.196077,WP002,0.47,0.37,3.02
445041.821680,494113.709668,2896.781863,WP002,0.33,0.55,3.04
445040.372606,494113.747613,2895.332292,WP002,0.14,0.14,3.04
445259.843907,493860.737830,3008.529635,WP003,0.34,0.38,
445258.405720,493860.775490,3007.140318,WP003,0.31,0.76,
445256.967533,493860.813151,3005.751001,WP003,0.33,1.1,
445255.529347,493860.850811,3004.361685,WP003,0.59,0.57,3.02
445254.091160,493860.888471,3002.972368,WP003,0.1,2.95,2.51
445252.652974,493860.926131,3001.583051,WP003,0.1,0.74,2.42
445251.214787,493860.963792,3000.193734,WP003,0.19,0.59,2.45
445249.776600,493861.001452,2998.804418,WP003,0.35,0.95,2.31
445248.338414,493861.039112,2997.415101,WP003,0.39,0.55,2.23
445246.900227,493861.076772,2996.025784,WP003,0.35,0.37,2.21
445245.462041,493861.114433,2994.636467,WP003,0.11,0.5,3.05
445244.023854,493861.152093,2993.247151,WP003,0.19,0.44,2.79
445242.585667,493861.189753,2991.857834,WP003,0.14,0.58,3.12
445241.147481,493861.227413,2990.468517,WP003,0.09,0.64,3.11
445239.709294,493861.265074,2989.079200,WP003,0.18,1.76,3.09
445238.271142,493861.302733,2987.689848,WP003,0.09,0.52,3.09
445236.833227,493861.340386,2986.300250,WP003,0.28,1.27,3.13
445235.395585,493861.378032,2984.910370,WP003,0.54,1.3,3.14
445233.958215,493861.415671,2983.520208,WP003,0.31,1.05,3.17
445232.521117,493861.453303,2982.129764,WP003,0.32,0.66,3.16
445231.084291,493861.490927,2980.739039,WP003,0.52,0.57,3.15
445229.647738,493861.528545,2979.348032,WP003,0.49,0.38,3.09
445228.211457,493861.566155,2977.956744,WP003,0.25,4.3,3.14
445226.775448,493861.603758,2976.565175,WP003,0.23,2.38,3.09
445225.339713,493861.641354,2975.173324,WP003,0.31,1.83,3.11
445223.904249,493861.678943,2973.781192,WP003,0.42,3,3.13
445222.469058,493861.716525,2972.388778,WP003,0.36,1.7,3.14
445221.034140,493861.754100,2970.996083,WP003,0.52,3.25,3.13
445219.599495,493861.791667,2969.603108,WP003,0.89,3.46,3.11
445218.165123,493861.829227,2968.209851,WP003,0.5,2.25,3.15
445216.731023,493861.866781,2966.816313,WP003,0.89,1.67,3.17
445215.297196,493861.904327,2965.422494,WP003,0.87,1.83,3.21
445213.863643,493861.941866,2964.028394,WP003,0.31,4.54,3.15
445212.430362,493861.979397,2962.634013,WP003,0.23,2.47,3.29
445210.997354,493862.016922,2961.239352,WP003,1.04,3.92,3.24
445209.564620,493862.054440,2959.844409,WP003,0.75,5.07,3.29
445208.132158,493862.091950,2958.449186,WP003,0.72,3.18,3.11
445206.699970,493862.129453,2957.053682,WP003,0.73,1.36,3.14
445205.268055,493862.166949,2955.657898,WP003,1.78,2.32,3.3
445203.836414,493862.204438,2954.261833,WP003,0.39,5.14,3.13
445202.405046,493862.241920,2952.865488,WP003,0.61,3.21,3.17
445200.973951,493862.279394,2951.468862,WP003,0.65,1.93,3.17
445199.543130,493862.316862,2950.071955,WP003,0.72,1.51,3.2
445198.112583,493862.354322,2948.674769,WP003,0.53,1.2,3.2
445196.682309,493862.391775,2947.277302,WP003,0.66,1.42,3.17
445195.252308,493862.429221,2945.879555,WP003,0.47,2.02,3.19
445193.822582,493862.466659,2944.481527,WP003,0.67,1.62,3.19
445192.393129,493862.504091,2943.083220,WP003,0.6,3.51,3.16
445190.963950,493862.541515,2941.684633,WP003,0.49,2.86,3.12
445189.535045,493862.578932,2940.285765,WP003,0.49,1.84,3.16
445188.106414,493862.616342,2938.886617,WP003,0.64,1.73,3.14
445186.678057,493862.653745,2937.487190,WP003,0.77,1.24,3.14
445185.249974,493862.691141,2936.087483,WP003,1.34,1.71,3.14
445183.822165,493862.728529,2934.687496,WP003,0.88,0.94,3.04
445182.394631,493862.765911,2933.287229,WP003,0.61,1.61,3.15
445180.967370,493862.803285,2931.886682,WP003,1.18,1.29,3.15
445179.540384,493862.840652,2930.485856,WP003,1.25,1.1,3.19
445178.113672,493862.878012,2929.084750,WP003,1.46,1.47,3.17
445176.687235,493862.915364,2927.683365,WP003,0.89,1.02,3.17
445175.261072,493862.952710,2926.281700,WP003,0.97,1.32,3.19
445173.835183,493862.990048,2924.879756,WP003,1.45,4.11,3.25
445172.409569,493863.027379,2923.477532,WP003,0.89,3.02,3.16
445170.984230,493863.064703,2922.075029,WP003,1.16,4.14,3.21
445169.559165,493863.102019,2920.672247,WP003,0.88,2.76,3.19
445168.134375,493863.139329,2919.269185,WP003,0.91,2.05,3.17
445166.709860,493863.176631,2917.865845,WP003,0.55,1.25,3.21
445165.285619,493863.213926,2916.462225,WP003,0.78,2.33,3.06
445163.861654,493863.251214,2915.058326,WP003,0.88,1.56,3.17
445162.437963,493863.288495,2913.654148,WP003,1.14,1.63,3.16
445161.014548,493863.325768,2912.249692,WP003,1,0.89,3.17
445159.591407,493863.363034,2910.844956,WP003,1.16,1.08,3.2
445158.168542,493863.400293,2909.439942,WP003,0.26,0.63,3.02
445156.745951,493863.437545,2908.034648,WP003,0.18,0.99,3.05
445155.323636,493863.474790,2906.629076,WP003,0.09,0.61,3.01
445153.901596,493863.512027,2905.223226,WP003,0.09,0.75,2.98
445152.479832,493863.549257,2903.817096,WP003,0.22,0.34,3.01
445151.058343,493863.586480,2902.410689,WP003,0.16,0.33,3.05
445149.637129,493863.623696,2901.004002,WP003,0.1,0.28,3.05
445148.216191,493863.660905,2899.597037,WP003,0.13,0.74,3.07
445146.795528,493863.698106,2898.189794,WP003,0.13,0.8,3.05
445145.375141,493863.735300,2896.782273,WP003,0.59,0.95,3.22
445143.955029,493863.772487,2895.374473,WP003,0.84,1.17,3.14
445142.535194,493863.809667,2893.966395,WP003,0.87,1.3,3.19
445141.115634,493863.846839,2892.558038,WP003,1.17,1.57,3.21
445139.696349,493863.884005,2891.149404,WP003,1.22,0.59,3.2
445138.277341,493863.921163,2889.740491,WP003,0.99,0.33,3.21
445136.858609,493863.958313,2888.331301,WP003,0.89,0.78,3.17
445135.440152,493863.995457,2886.921832,WP003,1,2.12,3.2
445134.021972,493864.032593,2885.512086,WP003,0.61,0.42,3.2
445132.604067,493864.069723,2884.102061,WP003,0.67,1.4,3.2
445131.186439,493864.106844,2882.691759,WP003,0.72,2.3,3.16
445129.769087,493864.143959,2881.281179,WP003,1.42,1.43,3.15
445128.352011,493864.181067,2879.870322,WP003,0.81,3.55,3.17
445126.935212,493864.218167,2878.459186,WP003,0.56,3.89,3.2
445125.518689,493864.255260,2877.047773,WP003,0.58,1.87,3.19
445124.102442,493864.292345,2875.636083,WP003,0.57,1.16,3.22
445122.686472,493864.329424,2874.224115,WP003,0.46,1.07,3.22
445121.270778,493864.366495,2872.811870,WP003,0.61,1.33,3.19
445119.855361,493864.403559,2871.399347,WP003,0.56,0.65,3.2
445118.440220,493864.440616,2869.986547,WP003,0.55,0.87,3.2
